Date,Adj Close,Close,High,Low,Open,Volume
2020-11-30,1756.142333984375,2212.5,2320.0,2202.5,2217.5,430302
2020-12-01,1685.6981201171875,2123.75,2185.0,2087.5,2161.25,413717
2020-12-02,1678.7529296875,2115.0,2190.0,2108.75,2150.0,316513
2020-12-03,1671.8077392578125,2106.25,2122.5,2073.75,2111.25,277110
2020-12-04,1650.97216796875,2080.0,2121.25,2078.75,2107.5,246060
2020-12-07,1623.19140625,2045.0,2081.25,2038.75,2077.5,249346
2020-12-08,1607.31689453125,2025.0,2092.5,2018.75,2055.0,272060
2020-12-09,1715.463134765625,2161.25,2185.0,2023.75,2028.75,645486
2020-12-10,1696.61181640625,2137.5,2233.75,2112.5,2210.0,506970
2020-12-11,1706.533935546875,2150.0,2223.75,2148.75,2172.5,433547
2020-12-14,1668.831298828125,2102.5,2126.25,2061.25,2125.0,338122
2020-12-15,1617.238525390625,2037.5,2103.75,2037.5,2056.25,305902
2020-12-16,1590.4500732421875,2003.75,2050.0,1987.5,2028.75,318155
2020-12-17,1557.708251953125,1962.5,1995.0,1958.75,1971.25,243999
2020-12-18,1572.590576171875,1981.25,2027.5,1946.25,1951.25,379437
2020-12-21,1582.5125732421875,1993.75,2093.75,1981.25,2038.75,552857
2020-12-22,1568.6220703125,1976.25,2032.5,1957.5,1975.0,369183
2020-12-23,1591.4420166015625,2005.0,2008.75,1968.75,1976.25,260759
2020-12-24,1570.6065673828125,1978.75,2002.5,1970.0,2000.0,157865
2020-12-28,1522.9818115234375,1918.75,1963.75,1910.0,1927.5,310148
2020-12-29,1519.013427734375,1913.75,1932.5,1882.5,1895.0,391314
2020-12-30,1519.013427734375,1913.75,1926.25,1886.25,1892.5,225566
2020-12-31,1506.1153564453125,1897.5,1936.25,1892.5,1915.0,286943
2021-01-04,1571.5985107421875,1980.0,2056.25,1872.5,1875.0,716122
2021-01-05,1532.90380859375,1931.25,2000.0,1928.75,2000.0,404773
2021-01-06,1596.402587890625,2011.25,2041.25,1930.0,2020.0,822835
2021-01-07,1477.3424072265625,1861.25,1957.5,1848.75,1957.5,480905
2021-01-08,1422.77294921875,1792.5,1863.75,1786.25,1823.75,697530
2021-01-11,1484.287353515625,1870.0,1881.25,1822.5,1843.75,539513
2021-01-12,1490.2408447265625,1877.5,1927.5,1848.75,1868.75,446461
2021-01-13,1462.459716796875,1842.5,1885.0,1826.25,1875.0,335724
2021-01-14,1484.287353515625,1870.0,1878.75,1815.0,1832.5,283622
2021-01-15,1520.005859375,1915.0,1937.5,1856.25,1876.25,492682
2021-01-19,1452.5382080078125,1830.0,1891.25,1821.25,1870.0,358135
2021-01-20,1352.3287353515625,1703.75,1773.75,1687.5,1766.25,524582
2021-01-21,1317.602783203125,1660.0,1703.75,1650.0,1683.75,372114
2021-01-22,1329.5089111328125,1675.0,1687.5,1660.0,1678.75,296681
2021-01-25,1292.7984619140625,1628.75,1738.75,1601.25,1622.5,811772
2021-01-26,1290.8143310546875,1626.25,1648.75,1610.0,1623.75,361330
2021-01-27,1395.984375,1758.75,1793.75,1661.25,1661.25,863249
2021-01-28,1374.1568603515625,1731.25,1753.75,1647.5,1743.75,657142
2021-01-29,1459.483154296875,1838.75,1871.25,1741.25,1758.75,889578
2021-02-01,1350.344482421875,1701.25,1815.0,1686.25,1778.75,672315
2021-02-02,1286.845703125,1621.25,1657.5,1601.25,1655.0,464027
2021-02-03,1299.74365234375,1637.5,1640.0,1583.75,1588.75,425677
2021-02-04,1254.103759765625,1580.0,1638.75,1580.0,1616.25,376750
2021-02-05,1241.2056884765625,1563.75,1592.5,1550.0,1567.5,374802
2021-02-08,1216.4013671875,1532.5,1565.0,1531.25,1540.0,353012
2021-02-09,1217.393798828125,1533.75,1547.5,1517.5,1547.5,375858
2021-02-10,1225.3310546875,1543.75,1590.0,1507.5,1513.75,756834
2021-02-11,1205.4874267578125,1518.75,1555.0,1513.75,1522.5,556934
2021-02-12,1186.63623046875,1495.0,1546.25,1491.25,1530.0,385786
2021-02-16,1194.5736083984375,1505.0,1522.5,1470.0,1482.5,447960
2021-02-17,1212.4326171875,1527.5,1578.75,1523.75,1547.5,639890
2021-02-18,1228.307373046875,1547.5,1603.75,1537.5,1578.75,700362
2021-02-19,1244.182373046875,1567.5,1582.5,1526.25,1527.5,526438
2021-02-22,1341.4149169921875,1690.0,1692.5,1612.5,1631.25,824762
2021-02-23,1352.3287353515625,1703.75,1870.0,1677.5,1776.25,1549617
2021-02-24,1318.5948486328125,1661.25,1792.5,1656.25,1750.0,926164
2021-02-25,1458.490966796875,1837.5,1861.25,1663.75,1705.0,1519481
2021-02-26,1436.663330078125,1810.0,1870.0,1725.0,1782.5,1732058
2021-03-01,1308.6732177734375,1648.75,1747.5,1642.5,1722.5,765638
2021-03-02,1371.179931640625,1727.5,1732.5,1637.5,1640.0,614727
2021-03-03,1490.2408447265625,1877.5,1880.0,1731.25,1747.5,1314785
2021-03-04,1563.661376953125,1970.0,2045.0,1826.25,1886.25,2590718
2021-03-05,1492.2249755859375,1880.0,2097.5,1862.5,1917.5,2426704
2021-03-08,1619.2227783203125,2040.0,2047.5,1855.0,1891.25,1477632
2021-03-09,1427.73388671875,1798.75,1897.5,1758.75,1887.5,1269245
