DATE,BAMLC0A4CBBB
2025-10-01,0.97
2025-10-02,0.96
2025-10-03,0.95
2025-10-06,0.94
2025-10-07,0.95
2025-10-08,0.95
2025-10-09,0.98
2025-10-10,1.02
2025-10-13,1.02
2025-10-14,1.02
2025-10-15,0.99
2025-10-16,1.01
2025-10-17,1.01
2025-10-20,1.0
2025-10-21,1.01
2025-10-22,1.02
2025-10-23,1.0
2025-10-24,0.98
2025-10-27,0.97
2025-10-28,0.97
2025-10-29,0.96
2025-10-30,0.98
2025-10-31,1.02
2025-11-03,1.04
2025-11-04,1.04
2025-11-05,1.02
2025-11-06,1.04
2025-11-07,1.06
2025-11-10,1.05
2025-11-11,1.05
2025-11-12,1.05
2025-11-13,1.06
2025-11-14,1.06
2025-11-17,1.06
2025-11-18,1.07
2025-11-19,1.07
2025-11-20,1.08
2025-11-21,1.09
2025-11-24,1.08
2025-11-25,1.07
2025-11-26,1.05
2025-11-27,1.05
2025-11-28,1.04
2025-11-30,1.05
2025-12-01,1.04
2025-12-02,1.03
2025-12-03,1.03
2025-12-04,1.02
2025-12-05,1.01
2025-12-08,1.0
2025-12-09,1.0
2025-12-10,1.0
2025-12-11,1.0
2025-12-12,1.01
2025-12-15,1.02
2025-12-16,1.03
2025-12-17,1.03
2025-12-18,1.03
2025-12-19,1.02
2025-12-22,1.02
2025-12-23,1.01
2025-12-24,1.0
2025-12-25,
2025-12-26,1.0
2025-12-29,1.0
2025-12-30,1.01
2025-12-31,1.01
2026-01-01,
2026-01-02,1.01
2026-01-05,1.01
2026-01-06,1.0
2026-01-07,1.01
2026-01-08,1.01
2026-01-09,0.99
2026-01-12,0.99
2026-01-13,0.98
2026-01-14,0.98
2026-01-15,0.97
2026-01-16,0.96
2026-01-19,0.96
2026-01-20,0.96
2026-01-21,0.95
2026-01-22,0.93
2026-01-23,0.94
2026-01-26,0.94
2026-01-27,0.94
2026-01-28,0.93
2026-01-29,0.94
2026-01-30,0.94
2026-01-31,0.95
2026-02-02,0.93
2026-02-03,0.94
2026-02-04,0.95
2026-02-05,0.96
2026-02-06,0.96
2026-02-09,0.96
2026-02-10,0.98
2026-02-11,0.98
2026-02-12,0.99
2026-02-13,1.0
2026-02-16,1.0
2026-02-17,1.01
2026-02-18,0.99
2026-02-19,0.99
2026-02-20,0.99
2026-02-23,1.01
2026-02-24,1.02
2026-02-25,1.01
2026-02-26,1.03
2026-02-27,1.07
2026-02-28,1.08
2026-03-02,1.06
2026-03-03,1.06
2026-03-04,1.03
2026-03-05,1.04
2026-03-06,1.06
2026-03-09,1.07
2026-03-10,1.06
2026-03-11,1.09
2026-03-12,1.12
2026-03-13,1.15
2026-03-16,1.16
2026-03-17,1.14
2026-03-18,1.13
2026-03-19,1.13
2026-03-20,1.11
2026-03-23,1.11
2026-03-24,1.09
2026-03-25,1.09
2026-03-26,1.11
2026-03-27,1.14
2026-03-30,1.16
2026-03-31,1.13
2026-04-01,1.1
2026-04-02,1.09
2026-04-03,1.09
2026-04-06,1.07
2026-04-07,1.08
2026-04-08,1.05
2026-04-09,1.05
2026-04-10,1.04
2026-04-13,1.04
2026-04-14,1.02
2026-04-15,1.01
2026-04-16,1.01
2026-04-17,1.01
2026-04-20,1.01
2026-04-21,1.0
2026-04-22,0.99
2026-04-23,1.0
2026-04-24,1.0
2026-04-27,1.01
2026-04-28,1.02
2026-04-29,1.01
2026-04-30,1.02
2026-05-01,1.01
2026-05-04,1.01
2026-05-05,0.99
2026-05-06,0.99
2026-05-07,0.99
2026-05-08,0.99
2026-05-11,0.98
2026-05-12,0.97
2026-05-13,0.96
2026-05-14,0.95
2026-05-15,0.94
2026-05-18,0.94
2026-05-19,0.95
2026-05-20,0.95
2026-05-21,0.94
2026-05-22,0.93
2026-05-25,0.93
2026-05-26,0.93
2026-05-27,0.93
2026-05-28,0.93
2026-05-29,0.92
2026-05-31,0.93
2026-06-01,0.92
2026-06-02,0.92
2026-06-03,0.93
2026-06-04,0.93
2026-06-05,0.93
2026-06-08,0.93
2026-06-09,0.93
2026-06-10,0.94
2026-06-11,0.94
2026-06-12,0.93
2026-06-15,0.92
2026-06-16,0.93
2026-06-17,0.92
2026-06-18,0.93
2026-06-19,0.93
2026-06-22,0.93
2026-06-23,0.93
2026-06-24,0.94
2026-06-25,0.95
2026-06-26,0.96
2026-06-29,0.95
2026-06-30,0.95
2026-07-01,0.94
2026-07-02,0.94
2026-07-03,0.94
2026-07-06,0.94
2026-07-07,0.94
2026-07-08,0.94
2026-07-09,0.94
2026-07-10,0.96
2026-07-13,0.96
2026-07-14,0.97
2026-07-15,0.97
2026-07-16,0.96
2026-07-17,0.97
2026-07-20,0.97
2026-07-21,0.97
2026-07-22,0.96
2026-07-23,0.98
2026-07-24,0.99
2026-07-27,1.0
2026-07-28,1.0
2026-07-29,1.0
2026-07-30,0.99
2026-07-31,0.99
